ensemble_geneid	gene_name	GuineaPig_ESF1	GuineaPig_ESF2	GuineaPig_ESF3	GuineaPig_SF1	GuineaPig_SF2	GuineaPig_SF3
ENSCPOG00000000004	PSEN1	50.7409779846763	49.2368711064575	41.3454622922946	43.6014108066411	42.3478233158174	39.763886936128
ENSCPOG00000000007	D2HGDH	7.88803845866072	7.42132377621883	9.13846510549263	10.2068128538885	9.38689043919275	10.3547244161052
ENSCPOG00000000009	OVOL1	0	0	0	2.08982796894522	0	2.83872756569053
ENSCPOG00000000010	H6PD	14.426649205311	19.4295579628208	19.3815622211064	15.2730284647927	17.1405868733364	16.1490224520806
ENSCPOG00000000011	OTOL1	0	0	0	0	0	0
ENSCPOG00000000012		0	0	0	0	0	0
ENSCPOG00000000013	TRIM10	5.47265369997411	5.46281753984764	4.99995636760237	5.51482380693437	5.24118033363455	6.38713702279801
ENSCPOG00000000014		0	0	0	0	0	0
ENSCPOG00000000015	ALDH6A1	18.9413154098304	16.3074310560613	16.2957885561174	11.6232005013784	13.9181290282172	11.2150036181648
ENSCPOG00000000016	Il12a	0	0	0	0	0.314354392464852	0
ENSCPOG00000000017	TSPAN13	23.0302614484061	23.2523221872627	18.8333014688985	46.7445344229445	23.0911792700661	45.0344393825983
ENSCPOG00000000018	AGR2	0	0	0	0.320598608871995	0.198257599793112	1.06892169183208
ENSCPOG00000000019	TSKU	44.8434656628827	67.906361310568	53.9275842132768	55.9485211742399	56.8122510190716	57.2339817417516
ENSCPOG00000000020	BCL2L13	65.1996962400588	56.2481267050254	62.2185182130522	75.3045153471064	85.0033185759934	68.4467083003764
ENSCPOG00000000022	OMG	0	0	0	0	0	0
ENSCPOG00000000023	RPS13	572.775496951448	378.371384506236	497.782482634248	904.860910751932	929.179538697736	887.49288158539
ENSCPOG00000000024	PIK3C2A	34.5509128736967	25.3025032294842	25.6940232038324	23.4780914949699	25.3747820818237	23.9060497709235
ENSCPOG00000000025		0.108761565281563	0.0991570242527763	0	0	0	0
ENSCPOG00000000026	PRRG1	58.2418182084339	63.039417747556	53.3797637230679	43.0275539358697	57.6775716804746	38.9432414241649
ENSCPOG00000000027	MAS1	0	0	0	0	0	0
ENSCPOG00000000029	SCNN1G	0.0307669404165632	0	0	0.0447110579726024	0	0
ENSCPOG00000000030	TRIB1	6.47131313428008	10.7071223780914	11.6553036947644	9.31714969487417	11.0926350897217	7.93553387680896
ENSCPOG00000000031	SLBP	54.4589550160568	51.9272941383401	60.0009668592646	58.0849244309608	65.2967236025481	55.2171411201489
ENSCPOG00000000032	TMEM129	55.0863845314033	67.9700914264319	60.5187928531968	69.8710665153743	70.7479240958917	58.9958396380137
ENSCPOG00000000034	GALNT3	0	0	0	0	0	0
ENSCPOG00000000035	RPA1	67.0033038480266	48.2714422612491	56.8793298941541	82.2564430762979	94.0873923590079	81.9506630404369
ENSCPOG00000000036	CHRNA1	0	0	0.0737922500653837	0	0.627295956200003	0
ENSCPOG00000000038	MIDN	43.6376385676354	75.2628613274405	90.0813906710489	56.8066075612391	50.9254115793497	61.8626391741183
ENSCPOG00000000039	PDC	0	0	0	0	0	0
ENSCPOG00000000040	EGFR	33.7333268266427	37.5968468340815	34.0608044310652	23.6351239335408	17.1867018629165	24.554523455192
ENSCPOG00000000041		0	0	0	0	0	0
ENSCPOG00000000042	GJD4	0.157836905713963	0.0959324055778529	0.0889906538729053	0	0	0
ENSCPOG00000000044	GSDMD	16.3125424442372	17.4792027441115	18.530734331811	21.9496972879669	16.9399190661924	25.6304653521715
ENSCPOG00000000046	MROH6	0.351505866624836	0.29581385229772	0.59455176410559	14.9315006694792	0.826165374068915	16.9439471894231
ENSCPOG00000000047	NAPRT	6.91554056649469	6.30484143820333	7.12800278228383	7.06625505268772	7.12108929869382	9.01675440728825
ENSCPOG00000000048	EEF1D	137.475702795912	112.332285728689	141.171251894365	193.11837429874	210.644442715366	197.123149951035
ENSCPOG00000000050	PYCR3	17.0842666745159	16.4766522918539	16.4784802782002	24.5193816065595	25.5038576374286	20.4092781693693
ENSCPOG00000000051	TSTA3	16.1581855898989	15.1710247106843	15.9088757749767	22.2547208245779	19.7223212315807	24.5387240559823
ENSCPOG00000000052	CYB5R4	15.6131297692923	10.7352228599324	13.4249489874028	15.4871896125085	15.6048899277006	16.0085214090854
ENSCPOG00000000053	TRIM35	24.195899213601	25.2637485182145	24.6108805376306	31.4794086690112	25.4905013359862	26.9983365140088
ENSCPOG00000000054		0	0	0	0	0	0
ENSCPOG00000000055	ONECUT2	0.0970696970140927	0.0884976441456234	0.3283755127907	0	0.348933375635659	0.0783875907342619
ENSCPOG00000000057	PTGES3	273.064036567445	161.262373776849	211.190525873857	247.275821149096	300.356376282517	255.348857660556
ENSCPOG00000000058	CGREF1	21.5937501427861	20.7426057155351	20.9699450273076	13.5618836090278	10.7740831775382	16.1725976672853
ENSCPOG00000000059	LCMT2	6.19774450323342	5.36662098609253	6.36646402349103	7.36161703637878	8.2401176170617	7.26742094854182
ENSCPOG00000000060	FER1L6	0.0452539380019017	0.0206288214791529	0	0	0	0
ENSCPOG00000000061	CCDC61	7.08398183338358	8.23883393229051	8.29034825192029	8.5695312572704	5.84996783610447	7.11208910015751
ENSCPOG00000000062	PGLYRP1	0	0	0	0	0	0
ENSCPOG00000000064	TBXAS1	0.384615780622225	0.601116073441931	0.185872931768559	0.319388802800464	0.0987547289536406	0.532444012535016
ENSCPOG00000000065	Dcn	4565.23356206872	4688.95329391128	3945.50910451855	1211.97286405427	1628.58128700702	1084.397861848
ENSCPOG00000000066	METTL1	10.3178978644444	9.90183430999341	8.15197951334335	9.37134395164032	9.028346082888	9.20917149885368
ENSCPOG00000000067	BRF1	24.5108143492476	23.9648487686251	24.4102151101377	27.0059406340737	24.4459223343697	24.7418059250337
ENSCPOG00000000069	FUT4	1.62914176806846	2.88803500708141	2.8321431173136	1.84138688172621	2.35875708472084	2.63119185681534
ENSCPOG00000000070	PIWIL4	0.0682788021201479	0.0829989628563404	0.0769930862346888	0.297671861930931	0	0.257309793735103
ENSCPOG00000000072	TKT	160.992852004021	179.244726738093	194.609166777779	194.752396409747	158.245370355135	218.017125266891
ENSCPOG00000000073	DCP1A	13.0503020278441	13.4292598104551	14.6430345138498	11.4071225492379	10.4505836297033	12.5733173823004
ENSCPOG00000000074	A2M	0.646987538418667	0.589853215811564	0.32830255666691	0.1504341839451	0.186056454460784	0.062696140111858
ENSCPOG00000000075	HSPBAP1	6.37472637107491	4.37770862297569	3.99091774607245	5.0530168801357	5.13356138995427	6.55179862853735
ENSCPOG00000000076	BAIAP2	41.6999784551507	50.3143909411847	46.7965852497799	29.4806630899699	24.7651216041327	30.5917114401649
ENSCPOG00000000077	INTS6	30.9727002473063	26.5765232880797	29.5537961511735	26.433108687203	24.9621568724131	27.640670455863
ENSCPOG00000000078	AATK	0	0	0	0.0843428328273313	0.13039363813044	0.0234342573196745
ENSCPOG00000000079	RAP1GAP2	0.383350002312908	0.0499281490243455	0.231576525240724	2.22836381455998	1.32880128944674	5.30691728525876
ENSCPOG00000000080	GPC5	0	0	0	0.064412505892158	0	0.0715868408532693
ENSCPOG00000000081	ROBO3	0	0	0	0.0415809544300101	0	0.0462122863577172
ENSCPOG00000000082	ROBO4	0	0	0	0	0	0
ENSCPOG00000000083	ZFAT	3.34268846376313	2.76226743388593	2.61809145058156	2.99116598608166	3.81784609474172	2.952000872436
ENSCPOG00000000085	GPA33	0	0	0	0	0	0
ENSCPOG00000000086	VAV2	26.440432216226	28.1863810308379	29.8883342070758	27.2672125143318	19.59826868518	27.2360100781581
