ensemble_geneid	gene_name	Horse_ESF1	Horse_ESF2
ENSECAG00000000001	MTPAP	25.1392795367282	21.3523922864827
ENSECAG00000000002		64.4304746339234	77.821861731693
ENSECAG00000000003		47.2653492614999	30.9962304262905
ENSECAG00000000004	RNF170	38.17895630087	28.3559265241012
ENSECAG00000000005	HNF4G	0	0
ENSECAG00000000006	GAD2	0	0.0551933987148302
ENSECAG00000000007	TMEM70	98.7882877036882	70.4541987968381
ENSECAG00000000008		530.242790248671	520.870056580049
ENSECAG00000000009	GSPT2	5.18309691427783	4.45370299342987
ENSECAG00000000010	LRRC58	58.226928961724	56.4816019237009
ENSECAG00000000011	ADGRA2	299.283629454367	140.371643631307
ENSECAG00000000012	PRKX	40.9968804358448	31.7122425326471
ENSECAG00000000013		0	0
ENSECAG00000000014	GAS6	39.148107758836	15.6698411742705
ENSECAG00000000015	KIAA1217	0.144869347513595	2.02007492657873
ENSECAG00000000016	FAM149B1	20.4694392326192	18.1456015472997
ENSECAG00000000017		3.76654185742329	8.31518385908544
ENSECAG00000000018	KANSL1L	16.012332134512	18.9026004925986
ENSECAG00000000019	MRPL52	98.5260117512102	95.157719029015
ENSECAG00000000020	THAP1	15.6078922827131	17.6899560265646
ENSECAG00000000021	FAM120C	6.52009442380501	4.51210315263885
ENSECAG00000000022	PLXNA1	32.4069131871046	23.367475697246
ENSECAG00000000023	TSR2	39.9139274186797	42.399252497373
ENSECAG00000000024	CHRNA6	0	0
ENSECAG00000000025	FGD1	11.5805823437612	16.6442804630319
ENSECAG00000000026	XG	10.9192056131997	14.5638723212626
ENSECAG00000000029	MARCH5	93.8975623029706	54.5129614425176
ENSECAG00000000030	FRA10AC1	29.4595426026393	29.2551975480897
ENSECAG00000000031	CAMK2G	60.0462807822392	58.7341287132382
ENSECAG00000000034	CBLN1	0	0
ENSECAG00000000035	GNL3L	37.1877736829909	41.1182731200709
ENSECAG00000000036	MAGED2	137.200279612845	238.042365039467
ENSECAG00000000037	HINT2	61.7217694244282	65.9899605407484
ENSECAG00000000039	PFKFB1	0	0
ENSECAG00000000040	IKZF2	0.270873600075625	0.225217955098164
ENSECAG00000000041	FAM217A	0.859381923261983	0.882658928559254
ENSECAG00000000042	ZC3H11A	83.9839985150946	89.1119428784648
ENSECAG00000000043	CHRNB3	0	0
ENSECAG00000000046	FAM13C	0	0
ENSECAG00000000047	MPC2	81.6291641089533	88.1223096398552
ENSECAG00000000048	UBA2	73.0527339975076	64.8569007828188
ENSECAG00000000050	WASF3	101.652992282973	118.994443875333
ENSECAG00000000051		0	0
ENSECAG00000000052	C12orf74	0	0
ENSECAG00000000053	AIMP2	35.1361286481409	51.1244075593693
ENSECAG00000000054	CCL17	0	0.532747710452365
ENSECAG00000000056	SLITRK3	0	0.0409881000897772
ENSECAG00000000057	TRMT5	26.5152239740454	29.9535017461406
ENSECAG00000000058	CALB1	0	0
ENSECAG00000000059	CLVS1	0.194165167154549	0
ENSECAG00000000060	CIAPIN1	43.0452659020237	45.9848309906141
ENSECAG00000000063	PTCHD3	0.0607581242141233	0.176810777075741
ENSECAG00000000064	ELOC	156.176922520463	211.541342337435
ENSECAG00000000065	ADGRA1	0	0.259424972045954
ENSECAG00000000066	NAP1L1	539.372590646407	563.80678278878
ENSECAG00000000068	ALAS2	0	0
ENSECAG00000000072	MAP7D2	0.107990739035132	0.576145698100646
ENSECAG00000000073	ADAM2	0	0
ENSECAG00000000074	METRNL	4.99781140253835	4.05554194581701
ENSECAG00000000076		0	0
ENSECAG00000000077	CPEB3	0.954406903869955	0.752211662546665
ENSECAG00000000078	EXOC2	287.230540376322	254.18801679203
ENSECAG00000000080	AAED1	29.7131942576088	32.8046174927469
ENSECAG00000000081	PTER	1.05768920002267	2.74339580561511
ENSECAG00000000084	ACBD3	97.8996252162036	89.8376988335768
ENSECAG00000000085	AGA	9.48351309780337	16.9832287203212
ENSECAG00000000087	SNTG1	0	0
ENSECAG00000000088	DUSP13	0	0
ENSECAG00000000090	MAP3K8	7.44091027673682	6.09007967391946
ENSECAG00000000091	PBLD	6.68291100555602	4.60055032203592
ENSECAG00000000092	NKX2-3	0.0793492323973496	0
ENSECAG00000000093		0	0
ENSECAG00000000094		0	0
ENSECAG00000000095	GOT1	25.6298020643107	40.9012758346818
ENSECAG00000000096	SLC20A2	7.36565182863237	21.3861142023999
ENSECAG00000000097		0.0418331916175589	0
ENSECAG00000000099	NDRG4	6.74030508834903	7.87013663168211
ENSECAG00000000100		0	0
ENSECAG00000000101	PAOX	8.84432664321138	7.66179054327022
ENSECAG00000000102	EIF5B	131.422184854639	129.486314392867
ENSECAG00000000103	ANKRD39	80.8627414291717	73.5950782692151
ENSECAG00000000104	ZNF74	6.79729539927121	5.11969718624689
ENSECAG00000000105	GCNT2	0.0618330568499856	0
ENSECAG00000000106	TXNDC5	300.481570724273	421.403438966971
ENSECAG00000000107		0	0
ENSECAG00000000108		0	0
ENSECAG00000000110	WRN	10.800331437584	14.4935294153826
ENSECAG00000000113	ACOT11	6.29875979569723	5.3230687659964
ENSECAG00000000114	PRL	0	0
ENSECAG00000000116	SUPT20H	14.1068665313076	15.3640375134595
ENSECAG00000000117	ZNF483	1.03345976065802	2.25558506440963
ENSECAG00000000119		2.47391911817905	3.16768908917424
ENSECAG00000000120		0	0
ENSECAG00000000121	NAV3	19.1995260247378	29.6061323060708
ENSECAG00000000122	GDA	12.2856464872136	23.7842816704263
ENSECAG00000000124	COPG1	273.618271354137	236.699512329308
ENSECAG00000000125	SGMS1	17.6226049860923	11.3798289009349
ENSECAG00000000126	C6orf118	0	0
ENSECAG00000000127	EIF2D	37.7264023887778	32.2937726676313
ENSECAG00000000129	SUGP2	25.4553980858127	49.1199693742721
ENSECAG00000000130		0	0
ENSECAG00000000131	FAM124A	3.26685284933478	1.24001622260528
ENSECAG00000000132	MAOB	0	0.778195305365183
ENSECAG00000000133	TMEM59L	106.180608552161	81.0703037644371
ENSECAG00000000134	MEGF9	4.6638537980207	3.48642909010039
ENSECAG00000000135	CDK5RAP2	24.7567448460043	24.9133641222322
ENSECAG00000000136	FERMT1	1.70782843306436	0.756290810588985
ENSECAG00000000138	ACVR2A	26.4436772645738	10.1504525495771
ENSECAG00000000139	EFCAB12	0	0
ENSECAG00000000140		193.510017932831	147.953832859268
ENSECAG00000000141	PTCH1	14.719098076601	9.22951174264344
ENSECAG00000000143	SPATA4	0	0
ENSECAG00000000144		0.271694014815936	0.658875260276603
ENSECAG00000000147		0.0807237860294205	0.146820235164192
ENSECAG00000000149	CNKSR2	0.0235135798755124	0.102639467151336
ENSECAG00000000151		0	0
ENSECAG00000000152	KITLG	2.84074160811525	10.4712481019838
ENSECAG00000000153	FRMPD4	5.98690983621393	3.00651421092448
ENSECAG00000000154	SDHAF1	8.91471376151011	7.13418673127291
ENSECAG00000000156	MMP21	0	0
ENSECAG00000000157		0.413383904263655	1.20297870102092
ENSECAG00000000158	SPATA6	16.5894718816784	25.7656165418348
ENSECAG00000000159	C16orf78	0	0
ENSECAG00000000160	COX5A	145.432265002865	173.151768194322
ENSECAG00000000161	DPP10	0	0
ENSECAG00000000162	TRIP12	143.504717254734	119.557753429469
ENSECAG00000000164		0.112042850554484	0.0815133108888771
ENSECAG00000000166	SPHKAP	0.685315381685715	1.66915917032282
ENSECAG00000000168	IL1B	0	0
ENSECAG00000000170		0.291247750730702	0.282517725239148
ENSECAG00000000171	NPAS2	11.3734226713182	14.4744062741395
ENSECAG00000000173	SEMA7A	4.7476892378143	44.7058771481039
ENSECAG00000000174		15.7354240574217	9.3488393111803
ENSECAG00000000176	ZDHHC4	24.8392724551719	13.167343979884
ENSECAG00000000178	RUNX1T1	32.1511089789782	21.0218822456988
ENSECAG00000000179	SCN1B	44.5149193748378	47.9090584590239
ENSECAG00000000182		0	0
ENSECAG00000000183		0	0
ENSECAG00000000184	CREB3	98.1845425279807	79.1139420640372
ENSECAG00000000185	SMPD3	0	0.066952135963445
ENSECAG00000000186	DEGS1	258.194997144085	256.966122125384
ENSECAG00000000187	NOL7	71.6680007340829	60.4111396090956
ENSECAG00000000188	NMD3	45.9538473052057	37.3179878332044
ENSECAG00000000190	SYNE4	0.867406677438912	0.811356303588952
ENSECAG00000000193	SSBP3	110.460837065959	123.695014180599
ENSECAG00000000194	ZMYM5	25.3502504305583	19.5798650351311
ENSECAG00000000195		0	0
ENSECAG00000000196	MMP15	0.623668416396975	0.583368002753999
ENSECAG00000000197	TLR3	0.541293171321746	1.05013628476622
ENSECAG00000000199	RGS3	9.29356919152513	11.7905521866667
ENSECAG00000000200		0	0.320105920443339
ENSECAG00000000201		0.125790439579364	0.0915149441266739
ENSECAG00000000202	MTNR1A	0	0
ENSECAG00000000203	TRPA1	5.65529613069498	19.9792146665231
ENSECAG00000000204	TESK1	46.1336437157818	33.1838616256585
ENSECAG00000000205	CCDC110	0.0312177857056086	0
ENSECAG00000000206		0	0
ENSECAG00000000207	ACTA1	1.47509652168872	1.162590926885
ENSECAG00000000210		0	0
ENSECAG00000000212	DPY19L3	55.1203547118597	76.648955981974
ENSECAG00000000214	IL18RAP	0	0
ENSECAG00000000216	PLP2	103.123904131804	233.906217990658
ENSECAG00000000217	MTSS1L	136.354076042619	40.8225956442214
ENSECAG00000000218	LHX4	0.0463189193933759	0.336978973478035
ENSECAG00000000220	STK35	10.7113751607984	11.3568464409529
ENSECAG00000000221	ETV5	114.678387884445	68.3418051556469
ENSECAG00000000223	AKR1A1	42.399626213914	71.8542857294309
ENSECAG00000000224	BCS1L	8.79568207207639	14.5779146223523
ENSECAG00000000225		0.514802337016809	0.374528519542908
ENSECAG00000000226	C6orf136	20.8101380557138	27.4285486426732
ENSECAG00000000227	HDAC6	15.0188728217533	15.7638568280767
ENSECAG00000000229	GNAI1	10.222290996759	20.478452453729
ENSECAG00000000231	CACNB4	0	0.383304562552257
ENSECAG00000000232	WDFY2	5.95498817895344	5.67030450361387
ENSECAG00000000233	TMPRSS3	0	0
ENSECAG00000000234		20.6228591470568	10.3009265071325
ENSECAG00000000235	MTBP	1.36407708307238	8.14166577051785
ENSECAG00000000236	EIF3E	270.699188979455	295.330434537076
ENSECAG00000000237	DGKH	5.38285432143643	7.05192267723084
ENSECAG00000000238	BOK	23.5868468272826	15.4033577151941
ENSECAG00000000239	FNDC1	0.847763900184394	3.4174814720126
ENSECAG00000000240	BCHE	0	0.123894816383901
ENSECAG00000000241		0	0
ENSECAG00000000242	AP2M1	367.949497291091	326.043658388426
ENSECAG00000000243		0	0
ENSECAG00000000244	ZNF423	0.735865672445421	0.647407633890002
ENSECAG00000000245	RAB3C	0	0
ENSECAG00000000246	GTF2F1	85.861386480322	70.7517303976866
ENSECAG00000000250		0.190215683270525	0.0307523417247794
ENSECAG00000000251		0	0
ENSECAG00000000252	THAP4	20.1584343530079	15.3941764804269
ENSECAG00000000253		0	0.191242767854852
ENSECAG00000000257	CNNM1	0.57728113226074	0.484595809391544
ENSECAG00000000258	STX11	1.65268938593262	1.488639968818
ENSECAG00000000259	RTKN2	3.11977303234278	11.8528484692253
ENSECAG00000000260	STAU2	37.1665764843407	41.9905872568266
ENSECAG00000000261	IDH3B	23.5825081540918	24.1121533457155
ENSECAG00000000262		0	0
ENSECAG00000000263	SLC35A2	47.449193356578	48.8765050634972
ENSECAG00000000264	DCT	0	0
ENSECAG00000000265	CYB5B	41.77951367602	82.3971499799366
ENSECAG00000000266	RYBP	30.2842708354333	25.7924024205451
ENSECAG00000000267	SLC5A1	0	0
ENSECAG00000000268	CST7	0	0
ENSECAG00000000269	CDC37L1	56.5072490617089	49.5755732930543
ENSECAG00000000270	CAGE1	0.0608061733435482	0.0884753018543775
ENSECAG00000000271	APBA1	4.09629150897084	1.41678321251287
ENSECAG00000000272	RTP2	0	0
ENSECAG00000000273	DLST	96.7067642010372	83.8194218351749
ENSECAG00000000274	SPAG16	0.39430464714376	0.191242767854852
ENSECAG00000000275		0	0
ENSECAG00000000276	DNAL1	8.56121539543304	9.63646593905511
ENSECAG00000000277		0	0
ENSECAG00000000278	FCAMR	0.192705278679694	0
ENSECAG00000000279	FARS2	15.5083723978883	13.4369265873642
ENSECAG00000000280	BCO1	0.0468552140115272	0
ENSECAG00000000281	SHCBP1	3.33245281920306	57.3780107474147
ENSECAG00000000282	ABCD4	5.27796582873094	5.65221623609022
ENSECAG00000000283	F13B	0	0
ENSECAG00000000284		0.506327227987421	1.05246490305658
ENSECAG00000000285	PRAF2	42.8716689076212	44.9203183131164
ENSECAG00000000286	HIRA	20.0863916760259	16.9205856634781
ENSECAG00000000287	RBM10	39.6741001060619	32.9466199254669
ENSECAG00000000288	IL1R2	0	0.166112871856443
ENSECAG00000000289		0	0
ENSECAG00000000291	PLCG2	0.0748133361157708	0.163284387052266
ENSECAG00000000292	THSD7A	0.0591343250859648	0.516256193169624
ENSECAG00000000293	MYO3B	0	0
ENSECAG00000000294	ZMYM3	23.5342495125957	24.5508561503595
ENSECAG00000000295	MRE11	15.2510824010952	16.092251043094
ENSECAG00000000296	LAMC3	103.486038925053	25.5777364413933
ENSECAG00000000297	BPIFA2	0	0
ENSECAG00000000298	DENND4C	39.0409007922109	21.7944776894701
ENSECAG00000000299	LRRC8E	1.13120185655905	1.8810764051317
ENSECAG00000000300	ARL3	69.6664619748144	104.927083154022
ENSECAG00000000301	ZNF341	4.05780335361132	2.30092433733794
ENSECAG00000000302	PMM1	38.2768222969241	46.2897273743586
ENSECAG00000000303	SLC2A1	79.8621418556222	79.1439310292366
ENSECAG00000000305		0	0
ENSECAG00000000306	GLRX3	137.497131731641	155.776903995582
ENSECAG00000000307	BACH1	61.720303995414	55.9622425247503
ENSECAG00000000308	RICTOR	18.6899931372126	15.6703615249506
ENSECAG00000000309	TRDV3	0	0
ENSECAG00000000310	DGKB	0.154189985681224	1.27132976357923
ENSECAG00000000311	EIF4ENIF1	18.317553060328	16.8370794177487
ENSECAG00000000313	ECI2	14.0910292520998	35.6695768311632
ENSECAG00000000314	SART3	26.8999366595313	21.9201117359084
ENSECAG00000000315		0	0
ENSECAG00000000316		0.116499100292729	0.678042540575181
ENSECAG00000000317		0	0
ENSECAG00000000319	SRP14	196.99997859444	211.379762023986
ENSECAG00000000320	TUSC3	145.604983619399	103.007489745196
ENSECAG00000000321		0	0.0294103625644046
ENSECAG00000000322		0	0
ENSECAG00000000323	ABCA10	0.0497666059501876	0.120687183597534
ENSECAG00000000324	RASEF	0	0.0493938274590624
ENSECAG00000000325		29.3326429751143	20.8559023798659
ENSECAG00000000326	FAM131A	8.35754415141153	6.18161066204139
ENSECAG00000000327	RNF181	73.3511326336716	64.5520500133635
ENSECAG00000000328		28.9080325609686	32.0887574434903
ENSECAG00000000329	C6orf62	126.681224300165	208.229253788467
ENSECAG00000000330	TEX33	0	0
ENSECAG00000000331	KDM1B	26.3336900047253	5.55770329602924
ENSECAG00000000332	EIF2B2	40.6263810329079	41.4391106373247
ENSECAG00000000336	COMP	0.233807925000263	0.194399685829108
ENSECAG00000000337		0.346348676544619	0
ENSECAG00000000339		0.214389899760942	0.334227302912926
ENSECAG00000000340	CNTN5	0	0
ENSECAG00000000341	TUBB2B	14.7997005185768	52.6110786112966
ENSECAG00000000343	HACD4	0.48602658781882	1.69724934303365
ENSECAG00000000344	PON1	0	0
ENSECAG00000000345	ZNF112	5.23524842716838	3.46249371648894
ENSECAG00000000346	EDRF1	8.30126138481668	9.29817022170371
ENSECAG00000000347		0	0
ENSECAG00000000348	EIF2AK4	25.9690653888471	29.2594530746585
ENSECAG00000000349		0	1.18388380100471
ENSECAG00000000350	COQ4	22.990418653931	20.6169032662205
ENSECAG00000000351	YIPF6	44.6376782814739	33.1184063097414
ENSECAG00000000352	IKBKE	5.62605411168098	6.49692329819479
ENSECAG00000000353	HPSE2	14.6456011796702	19.2536891847237
ENSECAG00000000354	PLK2	166.871887244876	80.8249571759409
ENSECAG00000000355		0	0
ENSECAG00000000356	MPP5	15.1050585943447	9.58530930358935
ENSECAG00000000357	DOCK10	0.0241392060884074	0.122932130030888
ENSECAG00000000358		0	0
ENSECAG00000000359	MARK4	37.4612980686352	22.5733215874973
ENSECAG00000000360	RGS18	0	0
ENSECAG00000000361	HEATR3	21.5011215275885	28.04857769945
ENSECAG00000000362	STXBP5	17.6705176283055	18.0967835998295
ENSECAG00000000363		0	0
ENSECAG00000000364		25.7319128294911	36.9951896143021
ENSECAG00000000365	PCNX4	3.93816041632422	4.06657484062983
ENSECAG00000000366	HEXDC	5.90272477449566	4.85447680084744
ENSECAG00000000367	RFC2	30.9713402515804	69.5310446398638
ENSECAG00000000368		0	0.972843645173245
ENSECAG00000000369	CERS4	14.136024849953	11.2453704860798
ENSECAG00000000370	RPS11	1788.96948710455	1793.28100458933
ENSECAG00000000371	KRCC1	27.4122103613317	32.4631158814832
ENSECAG00000000372	ARL1	184.054016074553	202.35755846874
ENSECAG00000000373	LOXL3	20.2442993520952	19.4014577591723
ENSECAG00000000374	PLEKHG7	0	0.19731396683371
ENSECAG00000000375	SNU13	132.608249532441	125.672665142602
ENSECAG00000000376	LYSMD4	22.365169481972	15.8456994867184
ENSECAG00000000377	BRIX1	39.020414124599	37.7887435882836
ENSECAG00000000378	PABPN1L	0	0
ENSECAG00000000381	DMXL2	3.44833259014795	2.9737601908133
ENSECAG00000000382	CLEC2B	0.119579169817935	3.65383732984449
ENSECAG00000000383	TOP1	70.1005380870681	61.6582261868577
ENSECAG00000000384	ERP29	132.058249084013	169.027193259921
ENSECAG00000000385	GPA33	0	0.167230223012079
ENSECAG00000000386	LRRC23	1.58127313507785	4.88922705992835
ENSECAG00000000387	FGL2	2.23841066063864	4.64118638581885
ENSECAG00000000390		9.43751590031692	10.3163855706156
ENSECAG00000000391	CLBA1	10.4307333982754	7.04651768185349
ENSECAG00000000392	DCAF1	30.3557879810733	22.5930542040539
ENSECAG00000000393	HPS1	21.3020899004769	17.2702868018718
ENSECAG00000000395	RAPGEF5	0	0.0462110777343241
ENSECAG00000000396	ICAM2	0	0
ENSECAG00000000397	SDHA	87.4054994087166	113.651084910626
ENSECAG00000000398	PITRM1	39.5646736385288	36.0174826956259
ENSECAG00000000399	ATXN7L1	1.89926023265772	1.8720457395192
ENSECAG00000000400	JAML	0.05955802183806	0.0866591937992708
ENSECAG00000000401		0.0358458770130181	0.156471355517161
ENSECAG00000000402	NDUFS7	59.2426572307008	35.1804039495343
ENSECAG00000000403		0.0206276072952249	0
ENSECAG00000000404	FKBP9	397.402138791922	495.918756311158
ENSECAG00000000406	C6orf106	125.01163004083	86.8037986021748
ENSECAG00000000407	MTMR6	62.1743646629419	45.2812590620546
ENSECAG00000000408		0	0
ENSECAG00000000409	KCTD6	8.93812424932919	4.23064358299831
ENSECAG00000000410	GLT8D1	56.1414711885489	89.1141624755392
ENSECAG00000000411	MCFD2	112.386900363883	91.1025812183034
ENSECAG00000000412	SMIM19	57.0562509506492	37.0135184999439
ENSECAG00000000413	DCAF6	58.8102927035881	51.4123646300453
ENSECAG00000000414	SLC2A2	0	0
ENSECAG00000000416	TGM7	0	0.362900432977382
ENSECAG00000000417	VWA2	0.0340519956567517	0.346828668895167
ENSECAG00000000418	APOA5	0	0
ENSECAG00000000419		1.18623207310118	1.09837185745335
ENSECAG00000000420	BANP	14.5112378660459	10.3372606202309
ENSECAG00000000421	GON7	28.9602283212234	30.550221814106
ENSECAG00000000422		0	0
ENSECAG00000000423	USP16	45.6818775874284	32.6073724286105
ENSECAG00000000424	SDHAF3	27.6967215856514	24.9618080461724
ENSECAG00000000426	CENPL	0.626506272683027	12.182164312339
ENSECAG00000000428	CMPK1	132.390562071771	183.178922272765
ENSECAG00000000429		9.9084286331126	5.57462810420883
ENSECAG00000000430	ACE2	0.0563912036618881	0
ENSECAG00000000431	KCNH1	0	0
ENSECAG00000000432	CTF1	9.46331153144126	7.07598241061361
ENSECAG00000000434		0	0
ENSECAG00000000435	LRP2	0.0221256519385194	0.104629419771553
ENSECAG00000000436		0	0
ENSECAG00000000437	MBTPS2	19.8244975003299	19.8817594352065
